onset	duration	trial_type	block_n
70.02	15.0	task	1
85.04	10.0	rest	1
95.04	16.31	task	2
111.35	10.0	rest	2
121.36	16.22	task	3
137.58	10.0	rest	3
147.58	16.19	task	4
163.77	10.0	rest	4
173.78	15.95	task	5
189.73	10.0	rest	5
199.74	15.86	task	6
215.6	10.0	rest	6
225.6	16.08	task	7
241.68	10.0	rest	7
251.68	16.05	task	8
267.74	10.0	rest	8
277.75	15.89	task	9
293.63	10.0	rest	9
303.64	16.03	task	10
319.67	10.0	rest	10
329.67	15.23	task	11
344.91	10.0	rest	11
354.92	15.9	task	12
370.82	10.0	rest	12
380.82	15.92	task	13
396.75	10.0	rest	13
406.75	16.15	task	14
422.9	10.0	rest	14
432.9	15.97	task	15
448.87	10.0	rest	15
458.88	17.0	task	16
475.88	10.0	rest	16
485.88	15.84	task	17
501.72	10.0	rest	17
511.72	16.03	task	18
527.75	10.0	rest	18
537.75	15.94	task	19
553.69	10.0	rest	19
563.7	14.94	task	20
578.63	10.0	rest	20
588.64	16.11	task	21
604.75	10.0	rest	21
614.75	16.96	task	22
631.71	10.0	rest	22
641.71	15.89	task	23
657.6	10.0	rest	23
667.6	15.97	task	24
683.58	10.0	rest	24
693.58	15.66	task	25
709.24	10.0	rest	25
719.24	16.22	task	26
735.46	10.0	rest	26
745.46	16.79	task	27
762.25	10.0	rest	27
772.26	15.99	task	28
788.24	10.0	rest	28
