onset	duration	trial_type	block_n
70.02	16.01	task	1
86.05	10.0	rest	1
96.05	16.16	task	2
112.22	10.0	rest	2
122.22	17.34	task	3
139.56	10.0	rest	3
149.56	18.03	task	4
167.6	10.0	rest	4
177.6	18.84	task	5
196.45	10.0	rest	5
206.46	19.14	task	6
225.6	10.0	rest	6
235.61	20.96	task	7
256.57	10.0	rest	7
266.57	20.06	task	8
286.63	10.0	rest	8
296.63	18.94	task	9
315.57	10.0	rest	9
325.57	19.19	task	10
344.76	10.0	rest	10
354.76	18.93	task	11
373.69	10.0	rest	11
383.7	18.74	task	12
402.44	10.0	rest	12
412.44	20.06	task	13
432.51	10.0	rest	13
442.51	18.04	task	14
460.56	10.0	rest	14
470.57	18.95	task	15
489.52	10.0	rest	15
499.52	18.96	task	16
518.48	10.0	rest	16
528.48	18.55	task	17
547.04	10.0	rest	17
557.04	19.17	task	18
576.21	10.0	rest	18
586.21	19.82	task	19
606.04	10.0	rest	19
616.04	18.88	task	20
634.93	10.0	rest	20
644.94	19.91	task	21
664.84	10.0	rest	21
674.85	20.21	task	22
695.06	10.0	rest	22
705.06	18.22	task	23
723.28	10.0	rest	23
733.29	19.78	task	24
753.07	10.0	rest	24
763.07	19.07	task	25
782.14	10.0	rest	25
792.15	18.76	task	26
810.91	10.0	rest	26
820.92	18.84	task	27
839.75	10.0	rest	27
849.76	19.06	task	28
868.82	10.0	rest	28
