onset	duration	trial_type	block_n
70.02	17.32	task	1
87.35	10.0	rest	1
97.36	18.15	task	2
115.52	10.0	rest	2
125.52	18.24	task	3
143.77	10.0	rest	3
153.77	16.84	task	4
170.61	10.0	rest	4
180.62	18.98	task	5
199.6	10.0	rest	5
209.61	16.11	task	6
225.72	10.0	rest	6
235.72	15.95	task	7
251.68	10.0	rest	7
261.68	18.18	task	8
279.87	10.0	rest	8
289.87	15.84	task	9
305.72	10.0	rest	9
315.72	18.95	task	10
334.67	10.0	rest	10
344.68	19.23	task	11
363.91	10.0	rest	11
373.92	16.92	task	12
390.84	10.0	rest	12
400.84	17.76	task	13
418.6	10.0	rest	13
428.61	17.01	task	14
445.61	10.0	rest	14
455.62	16.14	task	15
471.75	10.0	rest	15
481.76	16.94	task	16
498.7	10.0	rest	16
508.71	17.06	task	17
525.76	10.0	rest	17
535.77	13.75	task	18
549.52	10.0	rest	18
559.52	18.1	task	19
577.63	10.0	rest	19
587.63	17.55	task	20
605.18	10.0	rest	20
615.19	19.17	task	21
634.36	10.0	rest	21
644.36	17.95	task	22
662.32	10.0	rest	22
672.32	15.71	task	23
688.03	10.0	rest	23
698.03	18.05	task	24
716.09	10.0	rest	24
726.1	19.03	task	25
745.13	10.0	rest	25
755.13	18.07	task	26
773.2	10.0	rest	26
783.2	17.21	task	27
800.42	10.0	rest	27
810.42	16.9	task	28
827.32	10.0	rest	28
