onset	duration	trial_type	block_n
70.02	15.01	task	1
85.05	10.0	rest	1
95.06	18.19	task	2
113.25	10.0	rest	2
123.25	19.42	task	3
142.67	10.0	rest	3
152.68	16.9	task	4
169.58	10.0	rest	4
179.59	17.89	task	5
197.48	10.0	rest	5
207.49	19.14	task	6
226.64	10.0	rest	6
236.64	18.96	task	7
255.6	10.0	rest	7
265.61	18.17	task	8
283.78	10.0	rest	8
293.78	18.9	task	9
312.69	10.0	rest	9
322.69	20.02	task	10
342.71	10.0	rest	10
352.72	19.07	task	11
371.79	10.0	rest	11
381.8	18.77	task	12
400.57	10.0	rest	12
410.57	18.88	task	13
429.45	10.0	rest	13
439.46	19.11	task	14
458.57	10.0	rest	14
468.57	20.08	task	15
488.65	10.0	rest	15
498.65	20.85	task	16
519.5	10.0	rest	16
529.5	19.64	task	17
549.14	10.0	rest	17
559.14	20.02	task	18
579.16	10.0	rest	18
589.16	20.83	task	19
609.99	10.0	rest	19
619.99	19.9	task	20
639.9	10.0	rest	20
649.9	18.09	task	21
668.0	10.0	rest	21
678.0	20.07	task	22
698.07	10.0	rest	22
708.08	20.16	task	23
728.24	10.0	rest	23
738.24	19.81	task	24
758.06	10.0	rest	24
768.06	17.95	task	25
786.01	10.0	rest	25
796.02	20.73	task	26
816.75	10.0	rest	26
826.75	19.01	task	27
845.76	10.0	rest	27
855.77	20.17	task	28
875.93	10.0	rest	28
