onset	duration	trial_type	block_n
70.01	10.0	task	1
80.02	10.0	rest	1
90.02	10.0	task	2
100.03	10.0	rest	2
110.04	10.0	task	3
120.04	10.0	rest	3
130.05	10.0	task	4
140.05	10.0	rest	4
150.06	10.0	task	5
160.07	10.0	rest	5
170.07	10.0	task	6
180.08	10.0	rest	6
190.09	10.0	task	7
200.09	10.0	rest	7
210.1	10.0	task	8
220.11	10.0	rest	8
230.11	10.0	task	9
240.12	10.0	rest	9
250.12	10.0	task	10
260.13	10.0	rest	10
270.14	10.0	task	11
280.14	10.0	rest	11
290.15	10.0	task	12
300.15	10.0	rest	12
310.16	10.0	task	13
320.16	10.0	rest	13
330.17	10.0	task	14
340.18	10.0	rest	14
350.18	10.0	task	15
360.19	10.0	rest	15
370.19	10.0	task	16
380.2	10.0	rest	16
390.21	10.0	task	17
400.21	10.0	rest	17
410.22	10.0	task	18
420.23	10.0	rest	18
430.24	10.0	task	19
440.24	10.0	rest	19
450.25	10.0	task	20
460.26	10.0	rest	20
470.27	10.0	task	21
480.27	10.0	rest	21
490.28	10.0	task	22
500.28	10.0	rest	22
510.29	10.0	task	23
520.3	10.0	rest	23
530.3	10.0	task	24
540.31	10.0	rest	24
550.32	10.0	task	25
560.33	10.0	rest	25
570.33	10.0	task	26
580.34	10.0	rest	26
590.35	10.0	task	27
600.35	10.0	rest	27
610.36	10.0	task	28
620.37	10.0	rest	28
