onset	duration	trial_type	block_n
70.02	11.88	task	1
81.92	10.0	rest	1
91.93	13.2	task	2
105.13	10.0	rest	2
115.14	13.13	task	3
128.27	10.0	rest	3
138.27	12.06	task	4
150.34	10.0	rest	4
160.34	11.92	task	5
172.27	10.0	rest	5
182.27	13.24	task	6
195.51	10.0	rest	6
205.51	13.01	task	7
218.53	10.0	rest	7
228.53	13.18	task	8
241.72	10.0	rest	8
251.72	13.07	task	9
264.79	10.0	rest	9
274.79	12.89	task	10
287.69	10.0	rest	10
297.69	12.79	task	11
310.48	10.0	rest	11
320.48	13.08	task	12
333.56	10.0	rest	12
343.57	12.99	task	13
356.56	10.0	rest	13
366.57	13.1	task	14
379.67	10.0	rest	14
389.67	12.93	task	15
402.6	10.0	rest	15
412.6	13.13	task	16
425.73	10.0	rest	16
435.74	13.03	task	17
448.77	10.0	rest	17
458.77	11.86	task	18
470.63	10.0	rest	18
480.64	14.08	task	19
494.72	10.0	rest	19
504.73	12.0	task	20
516.73	10.0	rest	20
526.73	13.0	task	21
539.73	10.0	rest	21
549.73	13.19	task	22
562.92	10.0	rest	22
572.92	12.82	task	23
585.74	10.0	rest	23
595.74	13.09	task	24
608.84	10.0	rest	24
618.84	13.01	task	25
631.85	10.0	rest	25
641.85	13.91	task	26
655.77	10.0	rest	26
665.77	13.06	task	27
678.83	10.0	rest	27
688.84	13.06	task	28
701.89	10.0	rest	28
