onset	duration	trial_type	block_n
70.02	13.99	task	1
84.03	10.0	rest	1
94.03	13.2	task	2
107.24	10.0	rest	2
117.24	14.12	task	3
131.36	10.0	rest	3
141.37	14.07	task	4
155.43	10.0	rest	4
165.44	15.17	task	5
180.61	10.0	rest	5
190.61	15.21	task	6
205.83	10.0	rest	6
215.83	14.87	task	7
230.71	10.0	rest	7
240.71	14.9	task	8
255.62	10.0	rest	8
265.62	15.02	task	9
280.65	10.0	rest	9
290.65	16.06	task	10
306.72	10.0	rest	10
316.72	15.01	task	11
331.74	10.0	rest	11
341.74	13.99	task	12
355.73	10.0	rest	12
365.73	13.97	task	13
379.7	10.0	rest	13
389.71	15.23	task	14
404.93	10.0	rest	14
414.94	14.84	task	15
429.77	10.0	rest	15
439.77	15.01	task	16
454.79	10.0	rest	16
464.79	15.01	task	17
479.81	10.0	rest	17
489.81	15.13	task	18
504.94	10.0	rest	18
514.94	15.88	task	19
530.82	10.0	rest	19
540.83	15.08	task	20
555.91	10.0	rest	20
565.91	14.83	task	21
580.74	10.0	rest	21
590.75	14.95	task	22
605.7	10.0	rest	22
615.7	14.95	task	23
630.65	10.0	rest	23
640.65	15.19	task	24
655.84	10.0	rest	24
665.85	15.88	task	25
681.73	10.0	rest	25
691.73	14.99	task	26
706.72	10.0	rest	26
716.73	15.02	task	27
731.75	10.0	rest	27
741.75	14.96	task	28
756.72	10.0	rest	28
