onset	duration	trial_type	block_n
70.02	14.81	task	1
84.84	10.0	rest	1
94.84	17.18	task	2
112.02	10.0	rest	2
122.03	16.99	task	3
139.01	10.0	rest	3
149.02	16.26	task	4
165.28	10.0	rest	4
175.28	14.89	task	5
190.17	10.0	rest	5
200.17	16.07	task	6
216.25	10.0	rest	6
226.25	14.78	task	7
241.03	10.0	rest	7
251.04	15.03	task	8
266.06	10.0	rest	8
276.07	17.2	task	9
293.27	10.0	rest	9
303.27	15.89	task	10
319.17	10.0	rest	10
329.17	14.95	task	11
344.12	10.0	rest	11
354.12	14.91	task	12
369.03	10.0	rest	12
379.04	16.84	task	13
395.87	10.0	rest	13
405.88	17.09	task	14
422.96	10.0	rest	14
432.97	16.21	task	15
449.18	10.0	rest	15
459.18	14.95	task	16
474.13	10.0	rest	16
484.13	15.04	task	17
499.17	10.0	rest	17
509.17	15.04	task	18
524.22	10.0	rest	18
534.22	14.95	task	19
549.17	10.0	rest	19
559.17	15.85	task	20
575.03	10.0	rest	20
585.03	14.91	task	21
599.94	10.0	rest	21
609.94	15.2	task	22
625.14	10.0	rest	22
635.14	16.12	task	23
651.26	10.0	rest	23
661.27	13.79	task	24
675.06	10.0	rest	24
685.06	14.86	task	25
699.92	10.0	rest	25
709.92	14.95	task	26
724.87	10.0	rest	26
734.87	16.1	task	27
750.97	10.0	rest	27
760.97	15.01	task	28
775.99	10.0	rest	28
