onset	duration	trial_type	block_n
70.02	10.01	task	1
80.05	10.0	rest	1
90.06	10.0	task	2
100.07	10.0	rest	2
110.07	10.0	task	3
120.08	10.0	rest	3
130.09	10.0	task	4
140.09	10.0	rest	4
150.1	10.01	task	5
160.11	10.0	rest	5
170.12	10.0	task	6
180.13	10.0	rest	6
190.14	10.0	task	7
200.15	10.0	rest	7
210.15	10.0	task	8
220.16	10.0	rest	8
230.16	10.0	task	9
240.17	10.0	rest	9
250.18	10.0	task	10
260.18	10.0	rest	10
270.19	10.0	task	11
280.2	10.0	rest	11
290.2	10.0	task	12
300.21	10.0	rest	12
310.21	10.0	task	13
320.22	10.0	rest	13
330.23	10.0	task	14
340.23	10.0	rest	14
350.24	10.0	task	15
360.24	10.0	rest	15
370.25	10.0	task	16
380.25	10.0	rest	16
390.26	10.0	task	17
400.26	10.0	rest	17
410.27	10.0	task	18
420.28	10.0	rest	18
430.28	10.0	task	19
440.29	10.0	rest	19
450.29	10.0	task	20
460.3	10.0	rest	20
470.31	10.0	task	21
480.31	10.0	rest	21
490.32	10.0	task	22
500.33	10.0	rest	22
510.33	10.0	task	23
520.34	10.0	rest	23
530.35	10.0	task	24
540.35	10.0	rest	24
550.36	10.0	task	25
560.36	10.0	rest	25
570.37	10.0	task	26
580.38	10.0	rest	26
590.38	10.0	task	27
600.39	10.0	rest	27
610.4	10.0	task	28
620.4	10.0	rest	28
