onset	duration	trial_type	block_n
70.02	18.13	task	1
88.22	10.0	rest	1
98.23	16.15	task	2
114.38	10.0	rest	2
124.39	19.39	task	3
143.78	10.0	rest	3
153.78	13.99	task	4
167.78	10.0	rest	4
177.78	18.76	task	5
196.55	10.0	rest	5
206.56	19.08	task	6
225.64	10.0	rest	6
235.65	19.0	task	7
254.64	10.0	rest	7
264.64	17.09	task	8
281.74	10.0	rest	8
291.74	18.95	task	9
310.69	10.0	rest	9
320.7	19.02	task	10
339.72	10.0	rest	10
349.72	18.97	task	11
368.7	10.0	rest	11
378.7	16.09	task	12
394.79	10.0	rest	12
404.8	19.77	task	13
424.57	10.0	rest	13
434.57	16.03	task	14
450.6	10.0	rest	14
460.61	16.93	task	15
477.54	10.0	rest	15
487.55	19.1	task	16
506.65	10.0	rest	16
516.65	17.91	task	17
534.56	10.0	rest	17
544.57	18.86	task	18
563.42	10.0	rest	18
573.43	18.87	task	19
592.31	10.0	rest	19
602.31	15.98	task	20
618.3	10.0	rest	20
628.3	15.96	task	21
644.26	10.0	rest	21
654.27	12.88	task	22
667.15	10.0	rest	22
677.15	16.86	task	23
694.01	10.0	rest	23
704.02	18.93	task	24
722.95	10.0	rest	24
732.95	18.12	task	25
751.07	10.0	rest	25
761.07	19.17	task	26
780.24	10.0	rest	26
790.25	19.09	task	27
809.33	10.0	rest	27
819.34	19.81	task	28
839.14	10.0	rest	28
