onset	duration	trial_type	block_n
70.02	13.99	task	1
84.02	10.0	rest	1
94.03	15.23	task	2
109.26	10.0	rest	2
119.26	15.07	task	3
134.34	10.0	rest	3
144.34	16.25	task	4
160.59	10.0	rest	4
170.6	16.24	task	5
186.85	10.0	rest	5
196.85	15.67	task	6
212.53	10.0	rest	6
222.53	16.06	task	7
238.6	10.0	rest	7
248.6	16.02	task	8
264.62	10.0	rest	8
274.63	16.15	task	9
290.78	10.0	rest	9
300.78	15.94	task	10
316.72	10.0	rest	10
326.72	16.07	task	11
342.8	10.0	rest	11
352.8	16.94	task	12
369.74	10.0	rest	12
379.74	15.96	task	13
395.7	10.0	rest	13
405.71	17.17	task	14
422.88	10.0	rest	14
432.88	16.88	task	15
449.76	10.0	rest	15
459.77	16.99	task	16
476.76	10.0	rest	16
486.76	17.84	task	17
504.6	10.0	rest	17
514.6	17.06	task	18
531.67	10.0	rest	18
541.67	16.01	task	19
557.69	10.0	rest	19
567.69	17.03	task	20
584.72	10.0	rest	20
594.73	16.0	task	21
610.73	10.0	rest	21
620.74	16.84	task	22
637.58	10.0	rest	22
647.59	16.92	task	23
664.5	10.0	rest	23
674.51	16.88	task	24
691.39	10.0	rest	24
701.39	17.98	task	25
719.37	10.0	rest	25
729.38	16.98	task	26
746.35	10.0	rest	26
756.36	16.65	task	27
773.0	10.0	rest	27
783.01	18.06	task	28
801.07	10.0	rest	28
