onset	duration	trial_type	block_n
70.02	14.84	task	1
84.86	10.0	rest	1
94.86	16.29	task	2
111.15	10.0	rest	2
121.15	16.89	task	3
138.04	10.0	rest	3
148.04	16.11	task	4
164.16	10.0	rest	4
174.16	15.88	task	5
190.04	10.0	rest	5
200.05	16.96	task	6
217.01	10.0	rest	6
227.01	15.9	task	7
242.91	10.0	rest	7
252.91	16.03	task	8
268.95	10.0	rest	8
278.95	14.87	task	9
293.82	10.0	rest	9
303.82	17.21	task	10
321.04	10.0	rest	10
331.04	15.87	task	11
346.91	10.0	rest	11
356.91	16.07	task	12
372.98	10.0	rest	12
382.99	16.14	task	13
399.13	10.0	rest	13
409.13	16.04	task	14
425.17	10.0	rest	14
435.17	15.08	task	15
450.25	10.0	rest	15
460.25	15.02	task	16
475.27	10.0	rest	16
485.27	14.78	task	17
500.06	10.0	rest	17
510.06	16.26	task	18
526.32	10.0	rest	18
536.32	13.9	task	19
550.22	10.0	rest	19
560.23	15.09	task	20
575.32	10.0	rest	20
585.32	15.93	task	21
601.25	10.0	rest	21
611.25	16.96	task	22
628.21	10.0	rest	22
638.22	15.92	task	23
654.14	10.0	rest	23
664.14	16.01	task	24
680.16	10.0	rest	24
690.16	16.11	task	25
706.27	10.0	rest	25
716.27	16.08	task	26
732.35	10.0	rest	26
742.36	17.31	task	27
759.67	10.0	rest	27
769.67	15.99	task	28
785.66	10.0	rest	28
