onset	duration	trial_type	block_n
70.02	10.01	task	1
80.11	10.0	rest	1
90.12	10.0	task	2
100.12	10.0	rest	2
110.13	10.0	task	3
120.14	10.0	rest	3
130.15	10.0	task	4
140.15	10.0	rest	4
150.16	10.01	task	5
160.17	10.0	rest	5
170.18	10.0	task	6
180.19	10.0	rest	6
190.2	10.0	task	7
200.3	10.0	rest	7
210.3	10.0	task	8
220.31	10.0	rest	8
230.32	10.0	task	9
240.32	10.0	rest	9
250.33	10.0	task	10
260.34	10.0	rest	10
270.35	10.0	task	11
280.35	10.0	rest	11
290.36	10.0	task	12
300.37	10.0	rest	12
310.37	10.0	task	13
320.38	10.0	rest	13
330.39	10.0	task	14
340.39	10.0	rest	14
350.4	10.0	task	15
360.4	10.0	rest	15
370.41	10.0	task	16
380.41	10.0	rest	16
390.42	10.0	task	17
400.43	10.0	rest	17
410.43	10.0	task	18
420.44	10.0	rest	18
430.44	10.0	task	19
440.45	10.0	rest	19
450.46	10.0	task	20
460.46	10.0	rest	20
470.47	10.0	task	21
480.48	10.0	rest	21
490.48	10.0	task	22
500.49	10.0	rest	22
510.49	10.0	task	23
520.5	10.0	rest	23
530.51	10.0	task	24
540.51	10.0	rest	24
550.52	10.0	task	25
560.52	10.0	rest	25
570.53	10.0	task	26
580.54	10.0	rest	26
590.54	10.0	task	27
600.55	10.0	rest	27
610.55	10.0	task	28
620.56	10.0	rest	28
