onset	duration	trial_type	block_n
70.02	10.01	task	1
80.05	10.0	rest	1
90.05	10.0	task	2
100.06	10.0	rest	2
110.07	10.0	task	3
120.08	10.0	rest	3
130.08	10.0	task	4
140.09	10.0	rest	4
150.1	10.01	task	5
160.11	10.0	rest	5
170.12	10.0	task	6
180.13	10.0	rest	6
190.13	10.0	task	7
200.14	10.0	rest	7
210.14	10.0	task	8
220.15	10.0	rest	8
230.16	10.0	task	9
240.16	10.0	rest	9
250.17	10.0	task	10
260.17	10.0	rest	10
270.18	10.0	task	11
280.18	10.0	rest	11
290.19	10.0	task	12
300.19	10.0	rest	12
310.2	10.0	task	13
320.2	10.0	rest	13
330.21	10.0	task	14
340.21	10.0	rest	14
350.22	10.0	task	15
360.22	10.0	rest	15
370.23	10.0	task	16
380.23	10.0	rest	16
390.24	10.0	task	17
400.24	10.0	rest	17
410.25	10.0	task	18
420.25	10.0	rest	18
430.26	10.0	task	19
440.26	10.0	rest	19
450.27	10.0	task	20
460.27	10.0	rest	20
470.28	10.0	task	21
480.29	10.0	rest	21
490.29	10.0	task	22
500.3	10.0	rest	22
510.3	10.0	task	23
520.31	10.0	rest	23
530.31	10.0	task	24
540.32	10.0	rest	24
550.33	10.0	task	25
560.33	10.0	rest	25
570.34	10.0	task	26
580.34	10.0	rest	26
590.35	10.0	task	27
600.35	10.0	rest	27
610.36	10.0	task	28
620.36	10.0	rest	28
