onset	duration	trial_type	block_n
70.02	13.99	task	1
84.03	10.0	rest	1
94.03	15.23	task	2
109.26	10.0	rest	2
119.27	16.15	task	3
135.42	10.0	rest	3
145.43	15.17	task	4
160.59	10.0	rest	4
170.6	16.24	task	5
186.84	10.0	rest	5
196.85	15.67	task	6
212.52	10.0	rest	6
222.53	16.06	task	7
238.59	10.0	rest	7
248.59	16.02	task	8
264.62	10.0	rest	8
274.62	16.15	task	9
290.77	10.0	rest	9
300.78	15.94	task	10
316.72	10.0	rest	10
326.72	16.07	task	11
342.79	10.0	rest	11
352.8	15.99	task	12
368.79	10.0	rest	12
378.79	15.97	task	13
394.76	10.0	rest	13
404.76	17.04	task	14
421.8	10.0	rest	14
431.81	16.14	task	15
447.95	10.0	rest	15
457.95	15.91	task	16
473.86	10.0	rest	16
483.86	15.88	task	17
499.74	10.0	rest	17
509.75	15.91	task	18
525.66	10.0	rest	18
535.66	16.03	task	19
551.69	10.0	rest	19
561.69	16.01	task	20
577.71	10.0	rest	20
587.71	15.04	task	21
602.75	10.0	rest	21
612.75	15.98	task	22
628.73	10.0	rest	22
638.73	15.91	task	23
654.64	10.0	rest	23
664.64	15.06	task	24
679.7	10.0	rest	24
689.71	14.82	task	25
704.53	10.0	rest	25
714.53	15.79	task	26
730.32	10.0	rest	26
740.33	16.11	task	27
756.44	10.0	rest	27
766.44	15.81	task	28
782.25	10.0	rest	28
