onset	duration	trial_type	block_n
70.02	15.0	task	1
85.05	10.0	rest	1
95.05	17.37	task	2
112.42	10.0	rest	2
122.43	18.16	task	3
140.59	10.0	rest	3
150.59	18.21	task	4
168.81	10.0	rest	4
178.82	18.76	task	5
197.59	10.0	rest	5
207.59	16.02	task	6
223.61	10.0	rest	6
233.62	18.07	task	7
251.69	10.0	rest	7
261.69	17.95	task	8
279.65	10.0	rest	8
289.65	18.04	task	9
307.69	10.0	rest	9
317.69	17.99	task	10
335.68	10.0	rest	10
345.68	16.09	task	11
361.77	10.0	rest	11
371.77	20.03	task	12
391.8	10.0	rest	12
401.8	20.79	task	13
422.59	10.0	rest	13
432.6	17.95	task	14
450.55	10.0	rest	14
460.55	19.12	task	15
479.68	10.0	rest	15
489.68	19.0	task	16
508.68	10.0	rest	16
518.68	16.92	task	17
535.61	10.0	rest	17
545.61	16.99	task	18
562.61	10.0	rest	18
572.61	18.74	task	19
591.35	10.0	rest	19
601.36	18.93	task	20
620.29	10.0	rest	20
630.29	18.86	task	21
649.15	10.0	rest	21
659.15	16.92	task	22
676.08	10.0	rest	22
686.08	17.9	task	23
703.98	10.0	rest	23
713.98	18.12	task	24
732.1	10.0	rest	24
742.11	17.1	task	25
759.21	10.0	rest	25
769.21	16.22	task	26
785.43	10.0	rest	26
795.43	16.96	task	27
812.39	10.0	rest	27
822.4	19.81	task	28
842.21	10.0	rest	28
