onset	duration	trial_type	block_n
70.02	10.0	task	1
80.11	10.0	rest	1
90.12	10.0	task	2
100.12	10.0	rest	2
110.13	10.0	task	3
120.14	10.0	rest	3
130.14	10.0	task	4
140.15	10.0	rest	4
150.16	10.01	task	5
160.17	10.0	rest	5
170.18	10.0	task	6
180.18	10.0	rest	6
190.19	10.0	task	7
200.2	10.0	rest	7
210.2	10.0	task	8
220.21	10.0	rest	8
230.22	10.0	task	9
240.22	10.0	rest	9
250.23	10.0	task	10
260.23	10.0	rest	10
270.24	10.0	task	11
280.25	10.0	rest	11
290.25	10.0	task	12
300.26	10.0	rest	12
310.26	10.0	task	13
320.27	10.0	rest	13
330.27	10.0	task	14
340.28	10.0	rest	14
350.29	10.0	task	15
360.29	10.0	rest	15
370.3	10.0	task	16
380.31	10.0	rest	16
390.31	10.0	task	17
400.32	10.0	rest	17
410.32	10.0	task	18
420.33	10.0	rest	18
430.33	10.0	task	19
440.34	10.0	rest	19
450.35	10.0	task	20
460.35	10.0	rest	20
470.36	10.0	task	21
480.36	10.0	rest	21
490.37	10.0	task	22
500.37	10.0	rest	22
510.38	10.0	task	23
520.39	10.0	rest	23
530.39	10.0	task	24
540.4	10.0	rest	24
550.4	10.0	task	25
560.41	10.0	rest	25
570.42	10.0	task	26
580.42	10.0	rest	26
590.43	10.0	task	27
600.43	10.0	rest	27
610.44	10.0	task	28
620.44	10.0	rest	28
